  16 70 1.190
  17 70 2.041
  19 70 3.102
  20 70 6.178
  23 70 2.821
  25 70 1.690
  26 70 2.818
  27 70 3.876
  29 70 2.821
  30 70 0.990
  31 70 1.290
  32 70 1.790
  34 70 5.218
  35 70 1.290
  36 70 1.790
  37 70 3.190
  38 70 4.390
  39 70 5.166
  40 70 1.767
  41 70 3.190
  42 70 4.362
  44 70 2.743
  45 70 4.905
  46 70 2.743
  50 70 1.890
  51 70 2.848
  53 70 2.848
  61 70 1.378
  62 70 2.509
  63 70 3.457
  65 70 1.090
  66 70 1.090
  72 70 1.928
  78 70 3.169
  80 70 1.109
  82 70 1.490
  88 70 1.190
  89 70 1.672
  91 70 4.184
  93 70 1.105
  95 70 3.378
  97 70 1.177
  99 70 2.072
 103 70 1.182
 104 70 3.990
 106 70 1.985
 107 70 3.380
 108 70 4.078
 111 70 3.380
 112 70 4.078
 114 70 1.273
 115 70 2.875
 116 70 3.290
 118 70 2.740
 124 70 2.258
 125 70 3.346
 126 70 1.967
 130 70 1.826
 131 70 2.590
